"","B","SE8","SE","SE9","SE","SE10","SE","SE11","SE","SE12","SE","SE13","SE","SE14","SE","AN8","SE","AN9","SE","AN10","SE","AN11","SE","AN12","SE","AN13","SE","AN14","SE"
"8","Edges",-5.65772185472412,0.236354328063774,-4.83085834367167,0.102896077152502,-4.34280050393567,0.0856662286501073,-3.78158141828592,0.0542132236927713,-3.87333106885946,0.433764041029263,-3.64180087197545,0.722538252298076,-4.49431342378529,0.24825021259718,-3.27503047154759,0.0579738339277591,-2.57149928083666,0.045619437429941,-4.92526115873453,0.0976056389844894,-3.9189110991183,1.72279585969998,-2.58719561028725,0.496985237673424,-2.80454118755027,2.47197386472896,-3.70116728602034,0.108046411789788
"9","Reciprocity",1.3216770743457,0.223809239239037,1.4544458499402,0.0990302592891668,1.14383929771757,0.0947951185339892,1.40470052518096,0.0733473948435892,1.61338938694495,0.298216320289935,1.83427537582023,1.05255840908918,1.58000993629984,0.340198576846804,0.751131565255121,0.0790283374810553,0.685846776763866,0.0625409405735322,-0.381231647867508,0.429781198183349,0.679763475172466,2.44462261899746,0.853526462579064,0.603354480449154,0.866830695634228,2.27747494927695,1.12452825127701,0.0866668474707655
"10","same: Gender",0.0602242863232726,0.215865963519291,0.221380591547468,0.0875100865103121,0.0961595205316642,0.0766535574088931,0.0362829484386366,0.0474471918917686,0.263244412006754,0.40344211849455,-0.118617775430939,0.512070268241532,0.133105524761874,0.195478270671261,-0.176621184685575,0.060047325351025,-0.153852325086198,0.0455224666509199,-0.304146840574014,0.0926058264653263,0.754866040456074,1.88442472730354,0.0383068497441094,0.235409675393085,-0.624101002168882,1.94403940913325,-0.0498271850274019,0.0985375764786408
"7","diff: Seniority",0.244916179161992,0.0445775865421508,-0.141980271477694,0.0259370709990195,-0.106306653293369,0.0270930899528611,-0.0466516222019131,0.020659295142272,-0.103129693758573,0.223651178375808,-0.0246539768219868,0.362517231215848,0.00254678376461788,0.136752791259138,-0.0474715753290328,0.00828104318980955,-0.0293760171170823,0.00616029308145235,0.0347028915554305,0.0168464900070013,-0.03408711371232,0.282867127600655,-0.0934676322723849,0.0893056559966411,-0.0663366029254514,0.356240287382554,-0.157509175626427,0.0299767868760073
"6","diff: Left-Right",-1.18326822848738,0.183981036741312,-1.36576598182562,0.103772215785437,-1.47425327493525,0.0800271669804466,-1.40190769405916,0.0657578507128205,-1.10749611848387,0.6043762418266,-1.59940635818427,0.804310362065385,-1.36233368408192,0.309181586901255,-2.84193320993054,0.136164700444818,-2.47100806160518,0.0746323018246736,-2.43259826743171,0.308335341689626,-3.09739605113761,1.57804423773896,-3.41148812417267,1.06961531032427,-1.88723617858905,2.11868001990086,-1.85880460426078,0.215764243686767
"3","Both Conservatives",1.23259769817996,0.162047290036312,1.76935463515405,0.0673131432512558,1.37744521601075,0.0501539768876888,1.16578903005298,0.0370476726174609,1.21595929230715,0.38631834661031,1.34324217205908,0.84330672213436,2.05290115264688,0.24942484904201,0.435072226212026,0.0409785054368658,0.438752346463307,0.0302295510428189,0.355665542503863,0.0868768914178309,1.20514614766783,1.24189949936636,1.05790998220436,0.345897166285444,1.62613831310964,2.99623509337754,2.97314106530563,0.126443951987447
"1","Both Centrists",1.63583667069898,0.126317339924501,1.35216317597526,0.079614082624634,0.458389150468449,0.0910693922792092,0.818579695660777,0.0765082212930655,2.60106241123756,0.724001521000134,1.26379159225554,1.16115899775141,2.87477902071235,0.585557174931167,1.61671622181332,0.0351579025820174,1.49420016610928,0.0350256442734521,1.11510993919205,0.0685343319933117,2.08541855287432,0.800883637537756,1.83113053850446,2.89392767921397,1.74416420606771,7.65876617345407,5.9670402471868,1.07469778222716
"4","Both Radicals",1.41409251225391,0.346531474953282,0.00853728578849788,0.355732224732172,0.407434533372616,0.256687207350745,0.793817663899928,0.217130706703036,2.0687950589531,1.33050995730925,1.94416536131288,2.48193560464688,2.98462645233853,0.645474675781289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48669909111963,1.24777332664469
"5","Both Socialists",2.17294501395134,0.14668839949693,1.45360174951642,0.0911537108533595,1.02511132972469,0.0660288712496424,0.943992570579794,0.0669672428186188,1.88428453184097,0.602830621693471,1.64845809545788,0.622327595049115,2.44179292510903,0.326056066306402,-0.236279350415516,0.158994425190472,-1.82560808106196,0.288379663140972,1.96406670542965,0.248905350776048,-1.36579688375696,1.11108220631232,0.622153732163895,0.755218463840602,1.56591811480759,2.59909912992716,1.57421240837626,0.0988322254920991
"2","Both Communists",4.98644236644483,0.193695107083041,4.03670669570781,0.141453927532344,3.59199599663961,0.120119809039081,2.86331029900463,0.11326242454097,2.5679653023174,2.58871705388397,3.17343257508168,3.50605139035705,3.24342901168266,1.11309146875177,NA,NA,-0.453697678612578,0.221971218623188,NA,NA,0.0883819771918556,3.92862816727603,2.60946256070203,4.69369972014493,3.11649632396314,20619.3667937316,5.85576093841635,3.31224983517854
